=== [PHASE 2/2] Full experiment start Sun Sep 14 12:58:12 AM UTC 2025 ===
INFO 09-14 00:58:19 [__init__.py:216] Automatically detected platform cuda.
trainable params: 884,736 || all params: 126,124,032 || trainable%: 0.7015
{'loss': 2.5501, 'grad_norm': 5.517446517944336, 'learning_rate': 1.5889165494101096e-05, 'epoch': 0.21}
{'loss': 2.6045, 'grad_norm': 4.14844274520874, 'learning_rate': 1.5867518129667713e-05, 'epoch': 0.21}
{'loss': 2.5836, 'grad_norm': 6.228641986846924, 'learning_rate': 1.5845870765234333e-05, 'epoch': 0.21}
{'loss': 2.595, 'grad_norm': 3.8049428462982178, 'learning_rate': 1.5824223400800954e-05, 'epoch': 0.21}
{'loss': 2.5631, 'grad_norm': 3.8674755096435547, 'learning_rate': 1.5802576036367574e-05, 'epoch': 0.21}
{'loss': 2.6569, 'grad_norm': 4.865930080413818, 'learning_rate': 1.578092867193419e-05, 'epoch': 0.21}
{'loss': 2.4752, 'grad_norm': 4.41901159286499, 'learning_rate': 1.5759281307500812e-05, 'epoch': 0.21}
{'loss': 2.6215, 'grad_norm': 4.531616687774658, 'learning_rate': 1.5737633943067432e-05, 'epoch': 0.21}
{'loss': 2.6096, 'grad_norm': 4.960033416748047, 'learning_rate': 1.5715986578634053e-05, 'epoch': 0.21}
{'loss': 2.5894, 'grad_norm': 4.890895843505859, 'learning_rate': 1.5694339214200673e-05, 'epoch': 0.22}
{'loss': 2.5294, 'grad_norm': 4.8295087814331055, 'learning_rate': 1.5672691849767294e-05, 'epoch': 0.22}
{'loss': 2.6239, 'grad_norm': 3.5151641368865967, 'learning_rate': 1.5651044485333914e-05, 'epoch': 0.22}
{'loss': 2.6724, 'grad_norm': 5.331968784332275, 'learning_rate': 1.562939712090053e-05, 'epoch': 0.22}
{'loss': 2.5786, 'grad_norm': 4.6689019203186035, 'learning_rate': 1.560774975646715e-05, 'epoch': 0.22}
{'loss': 2.6056, 'grad_norm': 5.326490879058838, 'learning_rate': 1.5586102392033772e-05, 'epoch': 0.22}
{'loss': 2.6159, 'grad_norm': 4.2851691246032715, 'learning_rate': 1.5564455027600392e-05, 'epoch': 0.22}
{'loss': 2.6886, 'grad_norm': 5.07237434387207, 'learning_rate': 1.554280766316701e-05, 'epoch': 0.22}
{'loss': 2.6641, 'grad_norm': 4.332390308380127, 'learning_rate': 1.552116029873363e-05, 'epoch': 0.22}
{'loss': 2.6093, 'grad_norm': 4.858184337615967, 'learning_rate': 1.549951293430025e-05, 'epoch': 0.23}
{'loss': 2.5569, 'grad_norm': 4.062851428985596, 'learning_rate': 1.547786556986687e-05, 'epoch': 0.23}
{'loss': 2.4705, 'grad_norm': 4.334201812744141, 'learning_rate': 1.545621820543349e-05, 'epoch': 0.23}
{'loss': 2.6116, 'grad_norm': 4.088881492614746, 'learning_rate': 1.543457084100011e-05, 'epoch': 0.23}
{'loss': 2.6391, 'grad_norm': 4.536945343017578, 'learning_rate': 1.541292347656673e-05, 'epoch': 0.23}
{'loss': 2.477, 'grad_norm': 3.922440767288208, 'learning_rate': 1.539127611213335e-05, 'epoch': 0.23}
{'loss': 2.48, 'grad_norm': 4.581076145172119, 'learning_rate': 1.536962874769997e-05, 'epoch': 0.23}
{'loss': 2.5318, 'grad_norm': 4.062139987945557, 'learning_rate': 1.5347981383266587e-05, 'epoch': 0.23}
{'loss': 2.6643, 'grad_norm': 4.39911413192749, 'learning_rate': 1.5326334018833207e-05, 'epoch': 0.23}
{'loss': 2.6069, 'grad_norm': 4.362026691436768, 'learning_rate': 1.5304686654399828e-05, 'epoch': 0.23}
{'loss': 2.5772, 'grad_norm': 4.403563022613525, 'learning_rate': 1.5283039289966448e-05, 'epoch': 0.24}
{'loss': 2.6674, 'grad_norm': 5.636266708374023, 'learning_rate': 1.5261391925533065e-05, 'epoch': 0.24}
{'loss': 2.6319, 'grad_norm': 5.922140598297119, 'learning_rate': 1.5239744561099687e-05, 'epoch': 0.24}
